AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,time_rel,time_gap,jerk_x,jerk_y,jerk_z,lateral_qforce,speed_variance,label
0.50153327,-2.1934228,-1.306365,0.12644911,0.21464278,0.11591168,AGGRESSIVE,819248,0.326,1.0,5.04374981,0.7786939999999998,-5.977077400000001,2.2500309332266375,1.6478953198412563,1
-1.6779006,-1.3067034,1.2689915,0.039095376,-0.10606148,0.16905695,AGGRESSIVE,819248,0.326,0.0,-21.7943387,8.867194000000001,25.753565,2.1266932545743216,1.6402533552284144,1
-3.3962212,-2.541273,0.7577152,-0.015882496,-0.11950051,0.1769982,AGGRESSIVE,819249,0.327,1.0,-17.183206,-12.345696,-5.112763,4.2417433797742214,1.6969441514276769,1
-2.0278811,-0.026340961,-1.3620901,0.0067195175,0.10224357,0.300393,AGGRESSIVE,819249,0.327,0.0,13.683400999999996,25.14932039,-21.198053,2.0280521694383538,1.6973016384539403,1
-1.536128,-1.3228943,0.31967258,-0.008552114,-0.03153592,0.31627548,AGGRESSIVE,819250,0.328,1.0,4.917531000000002,-12.96553339,16.8176268,2.02724901315958,1.6566938721816302,1
1.3765585,1.8194126,-0.49733448,0.09590584,-0.02603813,0.2649628,AGGRESSIVE,819250,0.328,0.0,29.126865,31.423068999999998,-8.1700706,2.281485374259719,1.4828049955060434,1
-0.5257368,0.42190057,0.27075195,0.19181168,-0.017486017,0.27840182,AGGRESSIVE,819251,0.329,1.0,-19.022953,-13.975120299999999,7.680864300000001,0.6740914432334569,1.552154276134142,1
0.35706532,0.42051226,1.9158211,0.09773844,-0.008323039,0.2930626,AGGRESSIVE,819251,0.329,0.0,8.8280212,-0.013883099999999482,16.4506915,0.5516576869372981,1.5582639681844084,1
0.528189,-0.45526862,1.6688137,0.04153884,-0.032757647,0.24113905,AGGRESSIVE,819252,0.33,1.0,1.7112368,-8.7578088,-2.470074,0.6973185327221014,1.5373756041547768,1
-3.112577,0.9617368,0.43820572,0.012217305,-0.018096883,0.22036964,AGGRESSIVE,819253,0.331,1.0,-36.40766,14.1700542,-12.306079800000001,3.2577712094932694,1.5412122461361424,1
